,Rota,Etapa,Combustivel,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,R1,Sinterizacao,Gas natural,0.0696448325992833,0.06707655688963503,0.06764276347812122,0.06466779214396565,0.05342570980928486,0.05105299076314809,0.060380164255219124,0.06612662765845079,0.0691900985129556,0.057449341306006305,0.07197501788031366,0.06148788016225074,0.06388861939028388,0.06295854376597146,0.07004617832609396,0.07004617832609396,0.06949809211571457,0.06894999791029965,0.0684018875030505,0.06785375244898093,0.06730558405673374,0.06675737338006155,0.06620911120895637,0.06566078806041062,0.06511239416879214,0.06456391947581391,0.06401535362007892,0.06346668592617868,0.06291790539332373,0.0623690006834821,0.06181996010900105,0.061270771619685874,0.06072142278930772,0.06017190080151101,0.05962219243508929,0.059072284048596144,0.05852216156425638,0.05797181045114008,0.057421215707559856,0.05687036184264966,0.0563192328570804,0.05576781222286504,0.055216082862202844,0.054664027125309336,0.05411162676717492,0.05355886292319159
1,R1,Sinterizacao,Carvao metalurgico,0.4583811280188757,0.5118149281858556,0.49818979479935,0.5277969566854992,0.6199327595082825,0.46778664132810194,0.47254422090634424,0.466086669242515,0.47132795063155514,0.5252043314170142,0.52929949212953,0.5173244392807399,0.5577021543101905,0.5831179014284916,0.5823477412286661,0.5823477412286661,0.5777906173821764,0.5732325043710711,0.5686733351053317,0.5641130404705352,0.5595515492568163,0.5549887880848635,0.5504246813288052,0.5458591510358298,0.5412921168423828,0.536723495886766,0.5321532027179636,0.5275811492004981,0.5230072444151213,0.51843139455512,0.5138535028180177,0.5092734692924253,0.5046911908397937,0.5001065609707939,0.4955194697160442,0.49092980349087745,0.4863374449538304,0.48174227285851196,0.4771441618984884,0.4725429825448002,0.46793860087570127,0.46333087839818304,0.45871967186082097,0.4541048330574479,0.44948620862112865,0.4448636398078735
4,R1,Sinterizacao,Outras fontes secundarias,0.002323052451894472,0.002603361659333091,0.002803760110066712,0.0026677157910251466,0.004039781125938161,0.0006928742769242903,0.0006985569112496053,0.000680171620360141,0.0006536729367443839,0.0006625220983898838,0.0006621814230366022,0.0006227672435412792,0.0006211185766296797,0.0006195765962775508,0.0006145648342580114,0.0006145648342580114,0.0006097515422004533,0.0006049290848947445,0.0006000973756694981,0.0005952563253619185,0.00059040584221733,0.0005855458317838775,0.000580676196802133,0.0005757968370893204,0.0005709076494178546,0.0005660085273878727,0.0005610993612934117,0.0005561800379818646,0.0005512504407063268,0.0005463104489704097,0.000541359938365082,0.0005363987803970577,0.0005314268423082265,0.0005264439868855798,0.0005214500722610539,0.0005164449517006682,0.0005114284733822904,0.0005064004801613192,0.0005013608093235173,0.0004963092923241763,0.0004912457545127323,0.0004861700148418899,0.00048108188556023653,0.0004759811718872575,0.00047086767166957665,0.0004657411750171579
5,R1,Sinterizacao,Oleo diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,R1,Sinterizacao,Oleo combustivel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,R1,Sinterizacao,GLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,R1,Sinterizacao,Gas cidade,0.0818498015615641,0.08901531056417217,0.08588567091085472,0.08812582875232822,0.12786683957955738,0.10616292030260793,0.10176645458380458,0.10004305083881203,0.10067004703837343,0.09875694526569741,0.09198290730214596,0.0957819344323263,0.09418484949095188,0.09609965567613886,0.09616458980464554,0.09616458980464554,0.09541142489380218,0.0946568244944187,0.09390077503493724,0.0931432625538623,0.09238427268403525,0.09162379063615339,0.09086180118149147,0.09009828863378051,0.08933323683019709,0.08856662911141158,0.08779844830064212,0.08702867668165634,0.08625729597565981,0.08548428731700565,0.08470963122765567,0.08393330759031845,0.08315529562018478,0.08237557383517549,0.0815941200246105,0.08081091121620179,0.08002592364126633,0.0792391326980468,0.07845051291302083,0.07766003790007016,0.07686768031737212,0.07607341182186518,0.07527720302113,0.07447902342251465,0.07367884137932044,0.07287662403385
11,R1,Sinterizacao,Coque de carvao mineral,1.443629902281512,1.543681796928643,1.540819055089455,1.5349869421674884,1.8515572638835316,1.791827204062509,1.8062634898756849,1.787988362771625,1.807713724194179,1.756882936861952,1.7602548563993115,1.707261032658319,1.6973916729499985,1.704873262700313,1.708195862963054,1.708195862963054,1.6948153398016361,1.6814055692186445,1.6679662818900836,1.6544972012858628,1.6409980433793407,1.6274685163426241,1.6139083202268028,1.6003171466262591,1.5866946783261282,1.5730405889319272,1.559354542480304,1.545636193029787,1.5318851842303416,1.5181011488704543,1.5042837084003846,1.4904324724301203,1.4765470382004786,1.462626990025679,1.4486718987055967,1.4346813209057785,1.42065479850316,1.4065918578952732,1.3924920092705764,1.3783547458373473,1.3641795430084074,1.34996585753872,1.3357131266126872,1.3214207668777265,1.307088173420435,1.2927147186813597
12,R1,Sinterizacao,Eletricidade,0.29375734455746516,0.2910067229014114,0.2917174075039439,0.2983261990516063,0.32697666139511783,0.30935858301255476,0.30878102542455654,0.31030469946090283,0.3057977395532273,0.3131392771180237,0.3237301842168477,0.30755256621169863,0.3059141578387316,0.30262464462722605,0.30101765906227085,0.30101765906227085,0.2986538941248969,0.2962731421863515,0.2938751655872319,0.2914597219160436,0.2890265638757395,0.2865754391448511,0.2841060902328998,0.2816182543297502,0.27911166314854585,0.27658604276183424,0.2740411134304609,0.2714765894247749,0.26889217883765326,0.26628758338880865,0.2636624982197993,0.26101661167911216,0.2583496050966322,0.2556611525467519,0.2529509205993077,0.2502185680574539,0.24746374568150445,0.24468609589767898,0.24188525249059023,0.23906084027819519,0.23621247476780563,0.2333397617916166,0.23044229712004938,0.22751966605103469,0.22457144297316217,0.2215971909004023
13,R1,Sinterizacao,Carvao vegetal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
